,Kanji,Furigana,Meaning
89,田,た,Rice Field | Rice Paddy
90,当,あ.たる あ.たり あ.てる あ.て まさ.に まさ.にべし,Hit | Right | Appropriate | Himself
91,八,や や.つ やっ.つ よう,Eight | Eight Radical (no. 12)
92,六,む む.つ むっ.つ むい,Six
93,約,つづ.まる つづ.める つづま.やか,Promise | Approximately | Shrink
94,主,ぬし おも あるじ,Lord | Chief | Master | Main Thing | Principal
95,題,,Topic | Subject
96,下,した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす お.りる,Below | Down | Descend | Give | Low | Inferior
97,首,くび,Neck | Counter For Songs And Poems
98,意,,Idea | Mind | Heart | Taste | Thought | Desire | Care | Liking
99,法,のり,Method | Law | Rule | Principle | Model | System
100,不,,Negative | Non- | Bad | Ugly | Clumsy
101,来,く.る きた.る きた.す き.たす き.たる き こ,Come | Due | Next | Cause | Become
102,作,つく.る つく.り -づく.り,Make | Production | Prepare | Build
103,性,さが,Sex | Gender | Nature
104,的,まと,Bull's Eye | Mark | Target | Object | Adjective Ending
105,要,い.る かなめ,Need | Main Point | Essence | Pivot | Key To
106,用,もち.いる,Utilize | Business | Service | Use | Employ
107,制,,System | Law | Rule
108,治,おさ.める おさ.まる なお.る なお.す,Reign | Be At Peace | Calm Down | Subdue | Quell | Govt | Cure | Heal | Rule | Conserve
109,度,たび -た.い,Degrees | Occurrence | Time | Counter For Occurrences | Consider | Attitude
110,務,つと.める,Task | Duties
111,強,つよ.い つよ.まる つよ.める し.いる こわ.い,Strong
112,気,いき,Spirit | Mind | Air | Atmosphere | Mood
113,小,ちい.さい こ- お- さ-,Little | Small
114,七,なな なな.つ なの,Seven
115,成,な.る な.す -な.す,Turn Into | Become | Get | Grow | Elapse | Reach
116,期,,Period | Time | Date | Term
117,公,おおやけ,Public | Prince | Official | Governmental
118,持,も.つ -も.ち も.てる,Hold | Have
119,野,の の-,Plains | Field | Rustic | Civilian Life
120,協,,Co- | Cooperation
121,取,と.る と.り と.り- とり -ど.り,Take | Fetch | Take Up
122,都,みやこ,Metropolis | Capital | All | Everything
123,和,やわ.らぐ やわ.らげる なご.む なご.やか あ.える,Harmony | Japanese Style | Peace | Soften | Japan
124,統,す.べる ほび.る,Overall | Relationship | Ruling | Governing
125,以,もっ.て,By Means Of | Because | In View Of | Compared With
126,機,はた,Loom | Mechanism | Machine | Airplane | Opportunity | Potency | Efficacy | Occasion
127,平,たい.ら -だいら ひら ひら-,Even | Flat | Peace
128,総,す.べて すべ.て ふさ,General | Whole | All | Full | Total
129,加,くわ.える くわ.わる,Add | Addition | Increase | Join | Include | Canada
130,山,やま,Mountain
131,思,おも.う おもえら.く おぼ.す,Think
132,家,いえ や うち,House | Home | Family | Professional | Expert | Performer
133,話,はな.す はなし,Tale | Talk
134,世,よ,Generation | World | Society | Public
135,受,う.ける -う.け う.かる,Accept | Undergo | Answer (phone) | Take | Get | Catch | Receive
136,区,,Ward | District
137,領,えり,Jurisdiction | Dominion | Territory | Fief | Reign
138,多,おお.い まさ.に まさ.る,Many | Frequent | Much
139,県,か.ける,Prefecture
140,続,つづ.く つづ.ける つぐ.ない,Continue | Series | Sequel
141,進,すす.む すす.める,Advance | Proceed | Progress | Promote
142,正,ただ.しい ただ.す まさ まさ.に,Correct | Justice | Righteous | 10**40
143,安,やす.い やす.まる やす やす.らか,Relax | Cheap | Low | Quiet | Rested | Contented | Peaceful
144,設,もう.ける,Establishment | Provision | Prepare
145,保,たも.つ,Protect | Guarantee | Keep | Preserve | Sustain | Support
146,改,あらた.める あらた.まる,Reformation | Change | Modify | Mend | Renew | Examine | Inspect | Search
147,数,かず かぞ.える しばしば せ.める わずらわ.しい,Number | Strength | Fate | Law | Figures
148,記,しる.す,Scribe | Account | Narrative
149,院,,Inst. | Institution | Temple | Mansion | School
150,女,おんな め,Woman | Female
151,初,はじ.め はじ.めて はつ はつ- うい- -そ.める -ぞ.め,First Time | Beginning
152,北,きた,North
153,午,うま,Noon | Sign Of The Horse | 11am-1pm | Seventh Sign Of Chinese Zodiac
154,指,ゆび さ.す -さ.し,Finger | Point To | Indicate | Put Into | Play (chess) | Measure (ruler)
155,権,おもり かり はか.る,Authority | Power | Rights
156,心,こころ -ごころ,Heart | Mind | Spirit | Heart Radical (no. 61)
157,界,,World | Boundary
158,支,ささ.える つか.える か.う,Branch | Support | Sustain | Branch Radical (no. 65)
159,第,,No. | Residence
160,産,う.む う.まれる うぶ- む.す,Products | Bear | Give Birth | Yield | Childbirth | Native | Property
161,結,むす.ぶ ゆ.う ゆ.わえる,Tie | Bind | Contract | Join | Organize | Do Up Hair | Fasten
162,百,もも,Hundred
163,派,,Faction | Group | Party | Clique | Sect | School
164,点,つ.ける つ.く た.てる さ.す とぼ.す とも.す ぼち,Spot | Point | Mark | Speck | Decimal Point
165,教,おし.える おそ.わる,Teach | Faith | Doctrine
166,報,むく.いる,Report | News | Reward | Retribution
167,済,す.む -ず.み -ずみ す.まない す.ます -す.ます すく.う な.す わたし わた.る,"Settle (debt, Etc.) | Relieve (burden) | Finish | Come To An End | Excusable | Need Not"
168,書,か.く -が.き -がき,Write
169,府,,Borough | Urban Prefecture | Govt Office | Representative Body | Storehouse
170,活,い.きる い.かす い.ける,Lively | Resuscitation | Being Helped | Living
171,原,はら,Meadow | Original | Primitive | Field | Plain | Prairie | Tundra | Wilderness
172,先,さき ま.ず,Before | Ahead | Previous | Future | Precedence
173,共,とも とも.に -ども,Together | Both | Neither | All | And | Alike | With
174,得,え.る う.る,Gain | Get | Find | Earn | Acquire | Can | May | Able To | Profit | Advantage | Benefit
175,解,と.く と.かす と.ける ほど.く ほど.ける わか.る さと.る,Unravel | Notes | Key | Explanation | Understanding | Untie | Undo | Solve | Answer | Cancel | Absolve | Explain | Minute
176,名,な -な,Name | Noted | Distinguished | Reputation
177,交,まじ.わる まじ.える ま.じる まじ.る ま.ざる ま.ぜる -か.う か.わす かわ.す こもごも,Mingle | Mixing | Association | Coming & Going
178,資,,Assets | Resources | Capital | Funds | Data | Be Conducive To | Contribute To
179,予,あらかじ.め,Beforehand | Previous | Myself | I
180,川,かわ,Stream | River | River Or Three-stroke River Radical (no. 47)
181,向,む.く む.い -む.き む.ける -む.け む.かう む.かい む.こう む.こう- むこ むか.い,Yonder | Facing | Beyond | Confront | Defy | Tend Toward | Approach
182,際,きわ -ぎわ,Occasion | Side | Edge | Verge | Dangerous | Adventurous | Indecent | Time | When
183,査,,Investigate
184,勝,か.つ -が.ち まさ.る すぐ.れる かつ,Victory | Win | Prevail | Excel
185,面,おも おもて つら,Mask | Face | Features | Surface
186,委,ゆだ.ねる,Committee | Entrust To | Leave To | Devote | Discard
187,告,つ.げる,Revelation | Tell | Inform | Announce
188,軍,いくさ,Army | Force | Troops | War | Battle
189,文,ふみ あや,Sentence | Literature | Style | Art | Decoration | Figures | Plan | Literary Radical (no. 67)
190,反,そ.る そ.らす かえ.す かえ.る -かえ.る,Anti-
191,元,もと,Beginning | Former Time | Origin
192,重,え おも.い おも.り おも.なう かさ.ねる かさ.なる おも,Heavy | Important | Esteem | Respect | Heap Up | Pile Up | Nest Of Boxes | -fold
193,近,ちか.い,Near | Early | Akin | Tantamount
194,千,ち,Thousand
195,考,かんが.える かんが.え,Consider | Think Over
196,判,わか.る,Judgement | Signature | Stamp | Seal
197,認,みと.める したた.める,Acknowledge | Witness | Discern | Recognize | Appreciate | Believe
198,画,えが.く かく.する かぎ.る はかりごと はか.る,Brush-stroke | Picture
199,海,うみ,Sea | Ocean
200,参,まい.る まい- まじわる みつ,Nonplussed | Three (in Documents) | Going | Coming | Visiting | Visit | Be Defeated | Die | Be Madly In Love | Participate | Take Part In
201,売,う.る う.れる,Sell
202,利,き.く,Profit | Advantage | Benefit
203,組,く.む くみ -ぐみ,Association | Braid | Plait | Construct | Assemble | Unite | Cooperate | Grapple
204,知,し.る し.らせる,Know | Wisdom
205,案,つくえ,Plan | Suggestion | Draft | Ponder | Fear | Proposition | Idea | Expectation | Worry | Table | Bench
206,道,みち いう,Road-way | Street | District | Journey | Course | Moral | Teachings
207,信,,Faith | Truth | Fidelity | Trust
208,策,,Scheme | Plan | Policy | Step | Means
209,集,あつ.まる あつ.める つど.う,Gather | Meet | Congregate | Swarm | Flock
210,在,あ.る,Exist | Outskirts | Suburbs | Located In
211,件,くだん,Affair | Case | Matter | Item
212,団,かたまり まる.い,Group | Association
213,別,わか.れる わ.ける,Separate | Branch Off | Diverge | Fork | Another | Extra | Specially
214,物,もの もの-,Thing | Object | Matter
215,側,かわ がわ そば,Side | Lean | Oppose | Regret
216,任,まか.せる まか.す,Responsibility | Duty | Term | Entrust To | Appoint
217,引,ひ.く ひ.き ひ.き- -び.き ひ.ける,Pull | Tug | Jerk | Admit | Install | Quote | Refer To
218,使,つか.う つか.い -つか.い -づか.い,Use | Send On A Mission | Order | Messenger | Envoy | Ambassador | Cause
219,求,もと.める,Request | Want | Wish For | Require | Demand
220,所,ところ -ところ どころ とこ,Place | Extent
221,次,つ.ぐ つぎ,Next | Order | Sequence
222,水,みず みず-,Water
223,半,なか.ば,Half | Middle | Odd Number | Semi- | Part-
224,品,しな,Goods | Refinement | Dignity | Article | Counter For Meal Courses
225,昨,,Yesterday | Previous
226,論,,Argument | Discourse
227,計,はか.る はか.らう,Plot | Plan | Scheme | Measure
228,死,し.ぬ し.に-,Death | Die
229,官,,Bureaucrat | The Government | Organ
230,増,ま.す ま.し ふ.える ふ.やす,Increase | Add | Augment | Gain | Promote
231,係,かか.る かかり -がかり かか.わる,Person In Charge | Connection | Duty | Concern Oneself
232,感,,Emotion | Feeling | Sensation
233,特,,Special
234,情,なさ.け,Feelings | Emotion | Passion | Sympathy | Circumstances | Facts
235,投,な.げる -な.げ,Throw | Discard | Abandon | Launch Into | Join | Invest In | Hurl | Give Up | Sell At A Loss
236,示,しめ.す,Show | Indicate | Point Out | Express | Display
237,変,か.わる か.わり か.える,Unusual | Change | Strange
238,打,う.つ う.ち- ぶ.つ,Strike | Hit | Knock | Pound | Dozen
239,男,おとこ お,Male
240,基,もと もとい,Fundamentals | Radical (chem) | Counter For Machines | Foundation
241,私,わたくし わたし,Private | I | Me
242,各,おのおの,Each | Every | Either
243,始,はじ.める -はじ.める はじ.まる,Commence | Begin
244,島,しま,Island
245,直,ただ.ちに なお.す -なお.す なお.る なお.き す.ぐ,Straightaway | Honesty | Frankness | Fix | Repair
246,両,てる ふたつ,"Both | Old Japanese Coin | Counter For Carriages (e.g., In A Train) | Two"
247,朝,あさ,Morning | Dynasty | Regime | Epoch | Period | (north) Korea
248,革,かわ,Leather | Skin | Reform | Become Serious
249,価,あたい,Value | Price
250,式,,Style | Ceremony | Rite | Function | Method | System | Form | Expression
251,確,たし.か たし.かめる,Assurance | Firm | Tight | Hard | Solid | Confirm | Clear | Evident
252,村,むら,Village | Town
253,提,さ.げる,Propose | Take Along | Carry In Hand
254,運,はこ.ぶ,Carry | Luck | Destiny | Fate | Lot | Transport | Progress | Advance
255,終,お.わる -お.わる おわ.る お.える つい つい.に,End | Finish
256,挙,あ.げる あ.がる こぞ.る,Raise | Plan | Project | Behavior | Actions
257,果,は.たす はた.す -は.たす は.てる -は.てる は.て,Fruit | Reward | Carry Out | Achieve | Complete | End | Finish | Succeed
258,西,にし,West | Spain
259,勢,いきお.い はずみ,Forces | Energy | Military Strength
260,減,へ.る へ.らす,Dwindle | Decrease | Reduce | Decline | Curtail | Get Hungry
261,台,うてな われ つかさ,Pedestal | A Stand | Counter For Machines And Vehicles
262,広,ひろ.い ひろ.まる ひろ.める ひろ.がる ひろ.げる,Wide | Broad | Spacious
263,容,い.れる,Contain | Form | Looks
264,必,かなら.ず,Invariably | Certain | Inevitable
265,応,あた.る まさに こた.える,Apply | Answer | Yes | Ok | Reply | Accept
266,演,,Performance | Act | Play | Render | Stage
267,電,,Electricity
268,歳,とし とせ よわい,Year-end | Age | Occasion | Opportunity
269,住,す.む す.まう -ず.まい,Dwell | Reside | Live | Inhabit
270,争,あらそ.う いか.でか,Contend | Dispute | Argue
271,談,,Discuss | Talk
272,能,よ.く,Ability | Talent | Skill | Capacity
273,無,な.い,Nothingness | None | Ain't | Nothing | Nil | Not
274,再,ふたた.び,Again | Twice | Second Time
275,位,くらい ぐらい,Rank | Grade | Throne | Crown | About | Some
276,置,お.く -お.き,Placement | Put | Set | Deposit | Leave Behind | Keep | Employ | Pawn
277,企,くわだ.てる たくら.む,Undertake | Scheme | Design | Attempt | Plan
278,真,ま ま- まこと,True | Reality | Buddhist Sect
279,流,なが.れる なが.れ なが.す -なが.す,Current | A Sink | Flow | Forfeit
280,格,,"Status | Rank | Capacity | Character | Case (law, Grammar)"
281,有,あ.る,Possess | Have | Exist | Happen | Occur | Approx
282,疑,うたが.う,Doubt | Distrust | Be Suspicious | Question
283,口,くち,Mouth
284,過,す.ぎる -す.ぎる -す.ぎ す.ごす あやま.つ あやま.ち よ.ぎる,Overdo | Exceed | Go Beyond | Error
285,局,つぼね,Bureau | Board | Office | Affair | Conclusion | Court Lady | Lady-in-waiting | Her Apartment
286,少,すく.ない すこ.し,Few | Little
287,放,はな.す -っぱな.し はな.つ はな.れる こ.く ほう.る,Set Free | Release | Fire | Shoot | Emit | Banish | Liberate
288,税,,Tax | Duty
289,検,しら.べる,Examination | Investigate
290,藤,ふじ,Wisteria
291,町,まち,Town | Village | Block | Street
292,常,つね とこ-,Usual | Ordinary | Normal | Common | Regular | Continually | Always | Long-lasting
293,校,,Exam | School | Printing | Proof | Correction
294,料,,Fee | Materials
295,沢,さわ うるお.い うるお.す つや,Swamp | Marsh | Brilliance | Grace
296,裁,た.つ さば.く,Tailor | Judge | Decision | Cut Out (pattern)
297,状,,Status Quo | Conditions | Circumstances | Form | Appearance
298,工,,Craft | Construction | Katakana E Radical (no. 48)
299,建,た.てる た.て -だ.て た.つ,Build
300,語,かた.る かた.らう,Word | Speech | Language
301,球,たま,Ball | Sphere
302,営,いとな.む いとな.み,Occupation | Camp | Perform | Build | Conduct (business)
303,空,そら あ.く あ.き あ.ける から す.く す.かす むな.しい,Empty | Sky | Void | Vacant | Vacuum
304,職,,Post | Employment | Work
305,証,あかし,Evidence | Proof | Certificate
306,土,つち,Soil | Earth | Ground | Turkey
307,与,あた.える あずか.る くみ.する ともに,Bestow | Participate In | Give | Award | Impart | Provide | Cause | Gift | Godsend
308,急,いそ.ぐ いそ.ぎ せ.く,Hurry | Emergency | Sudden | Steep
309,止,と.まる -ど.まり と.める -と.める -ど.め とど.める とど.め とど.まる や.める や.む -や.む よ.す -さ.す -さ.し,Stop | Halt
310,送,おく.る,Escort | Send
311,援,,Abet | Help | Save
312,供,そな.える とも -ども,Submit | Offer | Present | Serve (meal) | Accompany
313,可,-べ.き -べ.し,Can | Passable | Mustn't | Should Not | Do Not
314,役,,Duty | War | Campaign | Drafted Labor | Office | Service | Role
315,構,かま.える かま.う,Posture | Build | Pretend
316,木,き こ-,Tree | Wood
317,割,わ.る わり わ.り わ.れる さ.く,Proportion | Comparatively | Divide | Cut | Separate | Split
318,聞,き.く き.こえる,Hear | Ask | Listen
319,身,み,Somebody | Person | One's Station In Life
320,費,つい.やす つい.える,Expense | Cost | Spend | Consume | Waste
321,付,つ.ける -つ.ける -づ.ける つ.け つ.け- -つ.け -づ.け -づけ つ.く -づ.く つ.き -つ.き -つき -づ.き -づき,Adhere | Attach | Refer To | Append
322,施,ほどこ.す,Give | Bestow | Perform | Alms
323,切,き.る -き.る き.り -き.り -ぎ.り き.れる -き.れる き.れ -き.れ -ぎ.れ,Cut | Cutoff | Be Sharp
324,由,よし よ.る,Wherefore | A Reason
325,説,と.く,Opinion | Theory | Explanation | Rumor
326,転,ころ.がる ころ.げる ころ.がす ころ.ぶ まろ.ぶ うたた うつ.る くる.めく,Revolve | Turn Around | Change
327,食,く.う く.らう た.べる は.む,Eat | Food
328,比,くら.べる,Compare | Race | Ratio | Philippines
329,難,かた.い -がた.い むずか.しい むづか.しい むつか.しい -にく.い,Difficult | Impossible | Trouble | Accident | Defect
330,防,ふせ.ぐ,Ward Off | Defend | Protect | Resist
331,補,おぎな.う,Supplement | Supply | Make Good | Offset | Compensate | Assistant | Learner
332,車,くるま,Car
333,優,やさ.しい すぐ.れる まさ.る,Tenderness | Excel | Surpass | Actor | Superiority | Gentleness
334,夫,おっと それ,Husband | Man
335,研,と.ぐ,Polish | Study Of | Sharpen
336,収,おさ.める おさ.まる,Income | Obtain | Reap | Pay | Supply | Store
337,断,た.つ ことわ.る さだ.める,Severance | Decline | Refuse | Apologize | Warn | Dismiss | Prohibit | Decision | Judgement | Cutting
338,井,い,Well | Well Crib | Town | Community
339,何,なに なん なに- なん-,What
340,南,みなみ,South
341,石,いし,Stone
342,足,あし た.りる た.る た.す,Leg | Foot | Be Sufficient | Counter For Pairs Of Footwear
343,違,ちが.う ちが.い ちが.える -ちが.える たが.う たが.える,Difference | Differ
344,消,き.える け.す,Extinguish | Blow Out | Turn Off | Neutralize | Cancel
345,境,さかい,Boundary | Border | Region
346,神,かみ かん- こう-,Gods | Mind | Soul
347,番,つが.い,Turn | Number In A Series
348,規,,Standard | Measure
349,術,すべ,Art | Technique | Skill | Means | Trick | Resources | Magic
350,護,まも.る,Safeguard | Protect
351,展,,Unfold | Expand
352,態,わざ.と,Attitude | Condition | Figure | Appearance | Voice (of Verbs)
353,導,みちび.く,Guidance | Leading | Conduct | Usher
354,鮮,あざ.やか,Fresh | Vivid | Clear | Brilliant | Korea
355,備,そな.える そな.わる つぶさ.に,Equip | Provision | Preparation
356,宅,,Home | House | Residence | Our House | My Husband
357,害,,Harm | Injury
358,配,くば.る,Distribute | Spouse | Exile | Rationing
359,副,,Vice- | Assistant | Aide | Duplicate | Copy
360,算,そろ,Calculate | Divining | Number | Abacus | Probability
361,視,み.る,Inspection | Regard As | See | Look At
362,条,えだ すじ,Article | Clause | Item | Stripe | Streak
363,幹,みき,Tree Trunk | Main Part | Talent | Capability
364,独,ひと.り,Single | Alone | Spontaneously | Germany
365,警,いまし.める,Admonish | Commandment
366,宮,みや,Shinto Shrine | Constellations | Palace | Princess
367,究,きわ.める,Research | Study
368,育,そだ.つ そだ.ち そだ.てる はぐく.む,Bring Up | Grow Up | Raise | Rear
369,席,むしろ,Seat | Mat | Occasion | Place
370,輸,,Transport | Send | Be Inferior
371,訪,おとず.れる たず.ねる と.う,Call On | Visit | Look Up | Offer Sympathy
372,楽,たの.しい たの.しむ この.む,Music | Comfort | Ease
373,起,お.きる お.こる お.こす おこ.す た.つ,Rouse | Wake Up | Get Up
374,万,よろず,"Ten Thousand | 10,000"
375,着,き.る -ぎ き.せる -き.せ つ.く つ.ける,Don | Arrive | Wear | Counter For Suits Of Clothing
376,乗,の.る -の.り の.せる,Ride | Power | Multiplication | Record | Counter For Vehicles | Board | Mount | Join
377,店,みせ たな,Store | Shop
378,述,の.べる,Mention | State | Speak | Relate
379,残,のこ.る のこ.す そこな.う のこ.り,Remainder | Leftover | Balance
380,想,おも.う,Concept | Think | Idea | Thought
381,線,すじ,Line | Track
382,率,ひき.いる,Ratio | Rate | Proportion | % | Factor | Lead | Spearhead | Command
383,病,や.む -や.み やまい,Ill | Sick
384,農,,Agriculture | Farmers
385,州,す,State | Province
